,_id,year,level_1,level_2,value
119,120,2003,Community Hospitals Admissions,Non-public,na
120,121,2004,Acute Hospitals Admissions,Public,na
121,122,2004,Acute Hospitals Admissions,Non-public,na
122,123,2004,Psychiatric Hospitals Admissions,Public,na
123,124,2004,Psychiatric Hospitals Admissions,Non-public,na
124,125,2004,Community Hospitals Admissions,Public,na
125,126,2004,Community Hospitals Admissions,Non-public,na
126,127,2005,Acute Hospitals Admissions,Public,na
127,128,2005,Acute Hospitals Admissions,Non-public,na
128,129,2005,Psychiatric Hospitals Admissions,Public,na
129,130,2005,Psychiatric Hospitals Admissions,Non-public,na
130,131,2005,Community Hospitals Admissions,Public,na
131,132,2005,Community Hospitals Admissions,Non-public,na
132,133,2006,Acute Hospitals Admissions,Public,308016
133,134,2006,Acute Hospitals Admissions,Non-public,92620
134,135,2006,Psychiatric Hospitals Admissions,Public,8245
135,136,2006,Psychiatric Hospitals Admissions,Non-public,269
136,137,2006,Community Hospitals Admissions,Public,0
137,138,2006,Community Hospitals Admissions,Non-public,6229
138,139,2007,Acute Hospitals Admissions,Public,317355
139,140,2007,Acute Hospitals Admissions,Non-public,95850
140,141,2007,Psychiatric Hospitals Admissions,Public,8417
141,142,2007,Psychiatric Hospitals Admissions,Non-public,288
142,143,2007,Community Hospitals Admissions,Public,0
143,144,2007,Community Hospitals Admissions,Non-public,7312
144,145,2008,Acute Hospitals Admissions,Public,321187
145,146,2008,Acute Hospitals Admissions,Non-public,91013
146,147,2008,Psychiatric Hospitals Admissions,Public,8884
147,148,2008,Psychiatric Hospitals Admissions,Non-public,0
148,149,2008,Community Hospitals Admissions,Public,0
149,150,2008,Community Hospitals Admissions,Non-public,7013
150,151,2009,Acute Hospitals Admissions,Public,323535
151,152,2009,Acute Hospitals Admissions,Non-public,90057
152,153,2009,Psychiatric Hospitals Admissions,Public,9060
153,154,2009,Psychiatric Hospitals Admissions,Non-public,0
154,155,2009,Community Hospitals Admissions,Public,0
155,156,2009,Community Hospitals Admissions,Non-public,7612
156,157,2010,Acute Hospitals Admissions,Public,333573
157,158,2010,Acute Hospitals Admissions,Non-public,93732
158,159,2010,Psychiatric Hospitals Admissions,Public,9759
159,160,2010,Psychiatric Hospitals Admissions,Non-public,0
160,161,2010,Community Hospitals Admissions,Public,0
161,162,2010,Community Hospitals Admissions,Non-public,7534
162,163,2011,Acute Hospitals Admissions,Public,347398
163,164,2011,Acute Hospitals Admissions,Non-public,98986
164,165,2011,Psychiatric Hospitals Admissions,Public,9628
165,166,2011,Psychiatric Hospitals Admissions,Non-public,0
