area,sex,age_group,population
Kent Ridge,total,55-59,-
Margaret Drive,total,55-59,850
Mei Chin,total,55-59,1300
National University Of S'pore,total,55-59,10
One North,total,55-59,40
Pasir Panjang 1,total,55-59,340
Pasir Panjang 2,total,55-59,250
Port,total,55-59,10
Queensway,total,55-59,20
Singapore Polytechnic,total,55-59,-
Tanglin Halt,total,55-59,770
River Valley - Total,total,55-59,650
Institution Hill,total,55-59,140
Leonie Hill,total,55-59,220
One Tree Hill,total,55-59,170
Oxley,total,55-59,110
Paterson,total,55-59,20
Rochor - Total,total,55-59,960
Bencoolen,total,55-59,110
Farrer Park,total,55-59,170
Kampong Glam,total,55-59,10
Little India,total,55-59,250
Mackenzie,total,55-59,-
Mount Emily,total,55-59,80
Rochor Canal,total,55-59,-
Selegie,total,55-59,10
Sungei Road,total,55-59,170
Victoria,total,55-59,150
Seletar - Total,total,55-59,30
Pulau Punggol Barat,total,55-59,-
Pulau Punggol Timor,total,55-59,-
Seletar,total,55-59,20
Seletar Aerospace Park,total,55-59,-
Sembawang - Total,total,55-59,6720
Admiralty,total,55-59,940
Sembawang Central,total,55-59,2500
Sembawang East,total,55-59,840
Sembawang North,total,55-59,1800
Sembawang Springs,total,55-59,470
Sembawang Straits,total,55-59,180
Senoko North,total,55-59,-
Senoko South,total,55-59,-
The Wharves,total,55-59,-
Sengkang - Total,total,55-59,14960
Anchorvale,total,55-59,2370
Compassvale,total,55-59,900
Fernvale,total,55-59,2800
Lorong Halus North,total,55-59,-
Rivervale,total,55-59,4630
Sengkang Town Centre,total,55-59,4260
Sengkang West,total,55-59,-
Serangoon - Total,total,55-59,9410
Lorong Chuan,total,55-59,730
Seletar Hills,total,55-59,1200
Serangoon Central,total,55-59,1970
Serangoon Garden,total,55-59,2830
Serangoon North,total,55-59,1470
Serangoon North Ind Estate,total,55-59,-
Upper Paya Lebar,total,55-59,1210
Simpang - Total,total,55-59,-
Pulau Seletar,total,55-59,-
Simpang North,total,55-59,-
Simpang South,total,55-59,-
Tanjong Irau,total,55-59,-
Singapore River - Total,total,55-59,200
Boat Quay,total,55-59,10
Clarke Quay,total,55-59,10
Robertson Quay,total,55-59,180
Southern Islands - Total,total,55-59,190
Sentosa,total,55-59,190
Southern Group,total,55-59,-
Straits View - Total,total,55-59,-
Straits View,total,55-59,-
Sungei Kadut - Total,total,55-59,60
Gali Batu,total,55-59,-
Kranji,total,55-59,-
Pang Sua,total,55-59,-
Reservoir View,total,55-59,-
Turf Club,total,55-59,50
Tampines - Total,total,55-59,21570
Simei,total,55-59,3360
Tampines East,total,55-59,11350
Tampines North,total,55-59,240
Tampines West,total,55-59,6390
Xilin,total,55-59,230
Tanglin - Total,total,55-59,1440
Chatsworth,total,55-59,420
Nassim,total,55-59,620
Ridout,total,55-59,110
Tyersall,total,55-59,290
Tengah - Total,total,55-59,-
Brickland,total,55-59,-
Forest Hill,total,55-59,-
Garden,total,55-59,-
Park,total,55-59,-
Plantation,total,55-59,-
Tengah Industrial Estate,total,55-59,-
Toa Payoh - Total,total,55-59,9150
Bidadari,total,55-59,-
Boon Teck,total,55-59,1170
Braddell,total,55-59,740
Joo Seng,total,55-59,560
Kim Keat,total,55-59,640
Lorong 8 Toa Payoh,total,55-59,610
Pei Chun,total,55-59,870
Potong Pasir,total,55-59,840
Sennett,total,55-59,420
Toa Payoh Central,total,55-59,2030
Toa Payoh West,total,55-59,1100
Woodleigh,total,55-59,160
Tuas - Total,total,55-59,-
Tengeh,total,55-59,-
Tuas Bay,total,55-59,-
Tuas North,total,55-59,-
Tuas Promenade,total,55-59,-
Tuas View,total,55-59,-
Tuas View Extension,total,55-59,-
Western Islands - Total,total,55-59,-
Jurong Island And Bukom,total,55-59,-
Semakau,total,55-59,-
Sudong,total,55-59,-
Western Water Catchment - Total,total,55-59,50
Bahar,total,55-59,-
Cleantech,total,55-59,-
Murai,total,55-59,50
Woodlands - Total,total,55-59,20200
Greenwood Park,total,55-59,-
Midview,total,55-59,2960
North Coast,total,55-59,1210
Senoko West,total,55-59,-
Woodgrove,total,55-59,3000
Woodlands East,total,55-59,7510
Woodlands Regional Centre,total,55-59,-
Woodlands South,total,55-59,2600
Woodlands West,total,55-59,2920
Yishun - Total,total,55-59,17760
Khatib,total,55-59,1010
Lower Seletar,total,55-59,730
Nee Soon,total,55-59,90
Northland,total,55-59,2640
Springleaf,total,55-59,370
Yishun Central,total,55-59,210
Yishun East,total,55-59,4190
Yishun South,total,55-59,3690
Yishun West,total,55-59,4840
Total,total,60-64,284630
Ang Mo Kio - Total,total,60-64,12730
Ang Mo Kio Town Centre,total,60-64,300
Cheng San,total,60-64,2120
Chong Boon,total,60-64,2140
Kebun Bahru,total,60-64,1750
Sembawang Hills,total,60-64,480
Shangri-La,total,60-64,1270
Tagore,total,60-64,730
Townsville,total,60-64,1660
Yio Chu Kang,total,60-64,-
Yio Chu Kang East,total,60-64,380
Yio Chu Kang North,total,60-64,-
Yio Chu Kang West,total,60-64,1910
Bedok - Total,total,60-64,21860
Bayshore,total,60-64,400
Bedok North,total,60-64,6560
Bedok Reservoir,total,60-64,1800
Bedok South,total,60-64,3740
Frankel,total,60-64,2110
Kaki Bukit,total,60-64,3510
Kembangan,total,60-64,3240
Siglap,total,60-64,500
Bishan - Total,total,60-64,7130
Bishan East,total,60-64,2420
Marymount,total,60-64,2360
Upper Thomson,total,60-64,2350
Boon Lay - Total,total,60-64,-
Liu Fang,total,60-64,-
Samulun,total,60-64,-
Shipyard,total,60-64,-
Tukang,total,60-64,-
Bukit Batok - Total,total,60-64,11750
Brickworks,total,60-64,640
Bukit Batok Central,total,60-64,2100
Bukit Batok East,total,60-64,1220
Bukit Batok South,total,60-64,1160
Bukit Batok West,total,60-64,1220
Gombak,total,60-64,630
Guilin,total,60-64,920
Hillview,total,60-64,1400
Hong Kah North,total,60-64,2460
Bukit Merah - Total,total,60-64,11110
Alexandra Hill,total,60-64,1140
Alexandra North,total,60-64,100
Bukit Ho Swee,total,60-64,1270
Bukit Merah,total,60-64,70
City Terminals,total,60-64,-
Depot Road,total,60-64,340
Everton Park,total,60-64,580
Henderson Hill,total,60-64,1140
Kampong Tiong Bahru,total,60-64,780
Maritime Square,total,60-64,190
Redhill,total,60-64,620
Singapore General Hospital,total,60-64,-
Telok Blangah Drive,total,60-64,1200
Telok Blangah Rise,total,60-64,1030
Telok Blangah Way,total,60-64,820
Tiong Bahru,total,60-64,790
Tiong Bahru Station,total,60-64,1050
Bukit Panjang - Total,total,60-64,10280
Bangkit,total,60-64,2020
Dairy Farm,total,60-64,430
Fajar,total,60-64,1820
Jelebu,total,60-64,2660
Nature Reserve,total,60-64,270
Saujana,total,60-64,1840
Senja,total,60-64,1240
Bukit Timah - Total,total,60-64,4950
Anak Bukit,total,60-64,1730
Coronation Road,total,60-64,360
Farrer Court,total,60-64,290
Hillcrest,total,60-64,560
Holland Road,total,60-64,560
Leedon Park,total,60-64,390
Swiss Club,total,60-64,320
Ulu Pandan,total,60-64,740
Central Water Catchment - Total,total,60-64,-
Central Water Catchment,total,60-64,-
Changi- Total,total,60-64,100
Changi Airport,total,60-64,-
Changi Point,total,60-64,60
Changi West,total,60-64,40
Changi Bay - Total,total,60-64,-
Changi Bay,total,60-64,-
Choa Chu Kang - Total,total,60-64,12760
Choa Chu Kang Central,total,60-64,1490
Choa Chu Kang North,total,60-64,2270
Keat Hong,total,60-64,1730
Peng Siang,total,60-64,2360
Teck Whye,total,60-64,2070
Yew Tee,total,60-64,2840
Clementi - Total,total,60-64,6080
Clementi Central,total,60-64,990
Clementi North,total,60-64,1840
Clementi West,total,60-64,1210
Clementi Woods,total,60-64,1060
Faber,total,60-64,220
Pandan,total,60-64,-
Sunset Way,total,60-64,430
Toh Tuck,total,60-64,-
West Coast,total,60-64,340
Downtown Core - Total,total,60-64,190
Anson,total,60-64,-
Bayfront Subzone,total,60-64,-
Bugis,total,60-64,60
Cecil,total,60-64,10
Central Subzone,total,60-64,40
City Hall,total,60-64,-
Clifford Pier,total,60-64,-
Marina Centre,total,60-64,-
Maxwell,total,60-64,-
Nicoll,total,60-64,30
Phillip,total,60-64,-
Raffles Place,total,60-64,-
Tanjong Pagar,total,60-64,30
Geylang - Total,total,60-64,8800
Aljunied,total,60-64,3120
Geylang East,total,60-64,2230
Kallang Way,total,60-64,-
Kampong Ubi,total,60-64,1100
Macpherson,total,60-64,2340
Hougang - Total,total,60-64,18620
Defu Industrial Park,total,60-64,-
Hougang Central,total,60-64,430
Hougang East,total,60-64,1870
Hougang West,total,60-64,4410
Kangkar,total,60-64,2200
Kovan,total,60-64,1920
Lorong Ah Soo,total,60-64,2700
Lorong Halus,total,60-64,-
Tai Seng,total,60-64,1170
Trafalgar,total,60-64,3930
Jurong East - Total,total,60-64,6680
International Business Park,total,60-64,-
Jurong Gateway,total,60-64,20
Jurong Port,total,60-64,-
Jurong River,total,60-64,-
Lakeside (Business),total,60-64,-
Lakeside (Leisure),total,60-64,100
Penjuru Crescent,total,60-64,-
Teban Gardens,total,60-64,1350
Toh Guan,total,60-64,1400
Yuhua East,total,60-64,2170
Yuhua West,total,60-64,1640
Jurong West - Total,total,60-64,17820
Boon Lay Place,total,60-64,1790
Chin Bee,total,60-64,-
Hong Kah,total,60-64,4310
Jurong West Central,total,60-64,4040
Kian Teck,total,60-64,-
Safti,total,60-64,-
Taman Jurong,total,60-64,2490
Wenya,total,60-64,390
Yunnan,total,60-64,4800
Kallang - Total,total,60-64,7750
Bendemeer,total,60-64,2690
Boon Keng,total,60-64,970
Crawford,total,60-64,860
Geylang Bahru,total,60-64,940
Kallang Bahru,total,60-64,-
Kampong Bugis,total,60-64,90
Kampong Java,total,60-64,760
Lavender,total,60-64,730
Tanjong Rhu,total,60-64,690
Lim Chu Kang - Total,total,60-64,10
Lim Chu Kang,total,60-64,10
Mandai - Total,total,60-64,150
Mandai East,total,60-64,-
Mandai Estate,total,60-64,150
Mandai West,total,60-64,-
Marina East - Total,total,60-64,-
Marina East,total,60-64,-
Marina South - Total,total,60-64,-
Marina South,total,60-64,-
Marine Parade - Total,total,60-64,3020
East Coast,total,60-64,-
Katong,total,60-64,600
Marina East (Mp),total,60-64,-
Marine Parade,total,60-64,1770
Mountbatten,total,60-64,650
Museum - Total,total,60-64,20
Bras Basah,total,60-64,-
Dhoby Ghaut,total,60-64,10
Fort Canning,total,60-64,10
Newton - Total,total,60-64,470
Cairnhill,total,60-64,230
Goodwood Park,total,60-64,60
Istana Negara,total,60-64,-
Monk's Hill,total,60-64,50
Newton Circus,total,60-64,10
Orange Grove,total,60-64,130
North-Eastern Islands - Total,total,60-64,-
North-Eastern Islands,total,60-64,-
Novena - Total,total,60-64,3070
Balestier,total,60-64,2240
Dunearn,total,60-64,250
Malcolm,total,60-64,170
Moulmein,total,60-64,370
Mount Pleasant,total,60-64,50
Orchard - Total,total,60-64,70
Boulevard,total,60-64,40
Somerset,total,60-64,10
Tanglin,total,60-64,20
Outram - Total,total,60-64,1460
China Square,total,60-64,130
Chinatown,total,60-64,660
Pearl's Hill,total,60-64,650
People's Park,total,60-64,20
Pasir Ris - Total,total,60-64,10200
Flora Drive,total,60-64,980
Loyang East,total,60-64,200
Loyang West,total,60-64,10
Pasir Ris Central,total,60-64,2100
Pasir Ris Drive,total,60-64,4380
Pasir Ris Park,total,60-64,250
Pasir Ris Wafer Fab Park,total,60-64,-
Pasir Ris West,total,60-64,2280
Paya Lebar - Total,total,60-64,-
Airport Road,total,60-64,-
Paya Lebar East,total,60-64,-
Paya Lebar North,total,60-64,-
Paya Lebar West,total,60-64,-
Plab,total,60-64,-
Pioneer - Total,total,60-64,-
Benoi Sector,total,60-64,-
Gul Basin,total,60-64,-
Gul Circle,total,60-64,-
Joo Koon,total,60-64,-
Pioneer Sector,total,60-64,-
Punggol - Total,total,60-64,6440
Coney Island,total,60-64,-
Matilda,total,60-64,1730
Northshore,total,60-64,40
Punggol Canal,total,60-64,-
Punggol Field,total,60-64,2510
Punggol Town Centre,total,60-64,620
Waterway East,total,60-64,1540
Queenstown - Total,total,60-64,6260
Commonwealth,total,60-64,570
Dover,total,60-64,700
Ghim Moh,total,60-64,820
Holland Drive,total,60-64,850
Kent Ridge,total,60-64,-
Margaret Drive,total,60-64,790
Mei Chin,total,60-64,1220
National University Of S'pore,total,60-64,-
One North,total,60-64,20
Pasir Panjang 1,total,60-64,280
Pasir Panjang 2,total,60-64,230
Port,total,60-64,10
Queensway,total,60-64,20
Singapore Polytechnic,total,60-64,-
Tanglin Halt,total,60-64,740
River Valley - Total,total,60-64,570
Institution Hill,total,60-64,120
Leonie Hill,total,60-64,190
One Tree Hill,total,60-64,150
Oxley,total,60-64,90
Paterson,total,60-64,10
Rochor - Total,total,60-64,1020
Bencoolen,total,60-64,110
Farrer Park,total,60-64,200
Kampong Glam,total,60-64,10
Little India,total,60-64,290
Mackenzie,total,60-64,-
Mount Emily,total,60-64,70
Rochor Canal,total,60-64,-
Selegie,total,60-64,10
Sungei Road,total,60-64,160
Victoria,total,60-64,160
Seletar - Total,total,60-64,20
Pulau Punggol Barat,total,60-64,-
Pulau Punggol Timor,total,60-64,-
Seletar,total,60-64,10
Seletar Aerospace Park,total,60-64,-
Sembawang - Total,total,60-64,5530
Admiralty,total,60-64,820
Sembawang Central,total,60-64,2130
Sembawang East,total,60-64,540
Sembawang North,total,60-64,1600
Sembawang Springs,total,60-64,320
Sembawang Straits,total,60-64,120
Senoko North,total,60-64,-
Senoko South,total,60-64,-
The Wharves,total,60-64,-
Sengkang - Total,total,60-64,13640
Anchorvale,total,60-64,2290
Compassvale,total,60-64,830
Fernvale,total,60-64,2400
Lorong Halus North,total,60-64,-
Rivervale,total,60-64,4220
Sengkang Town Centre,total,60-64,3890
Sengkang West,total,60-64,-
Serangoon - Total,total,60-64,10090
Lorong Chuan,total,60-64,640
Seletar Hills,total,60-64,1140
Serangoon Central,total,60-64,2330
Serangoon Garden,total,60-64,3240
Serangoon North,total,60-64,1340
Serangoon North Ind Estate,total,60-64,-
Upper Paya Lebar,total,60-64,1390
Simpang - Total,total,60-64,-
Pulau Seletar,total,60-64,-
Simpang North,total,60-64,-
Simpang South,total,60-64,-
Tanjong Irau,total,60-64,-
Singapore River - Total,total,60-64,140
Boat Quay,total,60-64,10
Clarke Quay,total,60-64,-
Robertson Quay,total,60-64,120
Southern Islands - Total,total,60-64,120
Sentosa,total,60-64,120
Southern Group,total,60-64,-
Straits View - Total,total,60-64,-
Straits View,total,60-64,-
Sungei Kadut - Total,total,60-64,60
Gali Batu,total,60-64,-
Kranji,total,60-64,-
Pang Sua,total,60-64,-
Reservoir View,total,60-64,-
Turf Club,total,60-64,50
Tampines - Total,total,60-64,21360
Simei,total,60-64,3190
Tampines East,total,60-64,11330
Tampines North,total,60-64,260
Tampines West,total,60-64,6410
Xilin,total,60-64,180
Tanglin - Total,total,60-64,1250
Chatsworth,total,60-64,350
Nassim,total,60-64,540
Ridout,total,60-64,100
Tyersall,total,60-64,260
Tengah - Total,total,60-64,-
Brickland,total,60-64,-
Forest Hill,total,60-64,-
Garden,total,60-64,-
Park,total,60-64,-
Plantation,total,60-64,-
Tengah Industrial Estate,total,60-64,-
Toa Payoh - Total,total,60-64,9320
Bidadari,total,60-64,-
Boon Teck,total,60-64,1190
Braddell,total,60-64,740
Joo Seng,total,60-64,530
Kim Keat,total,60-64,780
Lorong 8 Toa Payoh,total,60-64,620
Pei Chun,total,60-64,870
Potong Pasir,total,60-64,980
Sennett,total,60-64,430
Toa Payoh Central,total,60-64,1920
Toa Payoh West,total,60-64,1090
Woodleigh,total,60-64,170
Tuas - Total,total,60-64,-
Tengeh,total,60-64,-
Tuas Bay,total,60-64,-
Tuas North,total,60-64,-
Tuas Promenade,total,60-64,-
Tuas View,total,60-64,-
Tuas View Extension,total,60-64,-
Western Islands - Total,total,60-64,-
Jurong Island And Bukom,total,60-64,-
Semakau,total,60-64,-
Sudong,total,60-64,-
Western Water Catchment - Total,total,60-64,50
Bahar,total,60-64,-
Cleantech,total,60-64,-
Murai,total,60-64,50
Woodlands - Total,total,60-64,15890
Greenwood Park,total,60-64,-
Midview,total,60-64,2100
North Coast,total,60-64,1030
Senoko West,total,60-64,-
Woodgrove,total,60-64,2350
Woodlands East,total,60-64,5710
Woodlands Regional Centre,total,60-64,-
Woodlands South,total,60-64,2020
Woodlands West,total,60-64,2680
Yishun - Total,total,60-64,15820
Khatib,total,60-64,1040
Lower Seletar,total,60-64,530
Nee Soon,total,60-64,60
Northland,total,60-64,2480
Springleaf,total,60-64,350
Yishun Central,total,60-64,170
Yishun East,total,60-64,3440
Yishun South,total,60-64,3250
Yishun West,total,60-64,4500
Total,total,65-69,229400
Ang Mo Kio - Total,total,65-69,11960
Ang Mo Kio Town Centre,total,65-69,250
Cheng San,total,65-69,2170
Chong Boon,total,65-69,2100
Kebun Bahru,total,65-69,1690
Sembawang Hills,total,65-69,410
Shangri-La,total,65-69,1180
Tagore,total,65-69,550
Townsville,total,65-69,1530
Yio Chu Kang,total,65-69,-
Yio Chu Kang East,total,65-69,260
Yio Chu Kang North,total,65-69,-
Yio Chu Kang West,total,65-69,1820
Bedok - Total,total,65-69,19030
Bayshore,total,65-69,350
Bedok North,total,65-69,5980
Bedok Reservoir,total,65-69,1550
Bedok South,total,65-69,3360
Frankel,total,65-69,1880
Kaki Bukit,total,65-69,2740
Kembangan,total,65-69,2750
Siglap,total,65-69,430
Bishan - Total,total,65-69,5850
Bishan East,total,65-69,2090
Marymount,total,65-69,1790
Upper Thomson,total,65-69,1960
Boon Lay - Total,total,65-69,-
Liu Fang,total,65-69,-
Samulun,total,65-69,-
Shipyard,total,65-69,-
Tukang,total,65-69,-
Bukit Batok - Total,total,65-69,9330
Brickworks,total,65-69,430
Bukit Batok Central,total,65-69,1750
Bukit Batok East,total,65-69,1060
Bukit Batok South,total,65-69,830
Bukit Batok West,total,65-69,1070
Gombak,total,65-69,550
Guilin,total,65-69,750
Hillview,total,65-69,1080
Hong Kah North,total,65-69,1810
Bukit Merah - Total,total,65-69,10220
Alexandra Hill,total,65-69,1070
Alexandra North,total,65-69,70
Bukit Ho Swee,total,65-69,1110
Bukit Merah,total,65-69,80
City Terminals,total,65-69,-
Depot Road,total,65-69,330
Everton Park,total,65-69,620
Henderson Hill,total,65-69,970
Kampong Tiong Bahru,total,65-69,790
Maritime Square,total,65-69,140
Redhill,total,65-69,510
Singapore General Hospital,total,65-69,-
Telok Blangah Drive,total,65-69,1150
Telok Blangah Rise,total,65-69,1120
Telok Blangah Way,total,65-69,710
Tiong Bahru,total,65-69,810
Tiong Bahru Station,total,65-69,750
Bukit Panjang - Total,total,65-69,7370
Bangkit,total,65-69,1440
Dairy Farm,total,65-69,310
Fajar,total,65-69,1380
Jelebu,total,65-69,1930
Nature Reserve,total,65-69,190
Saujana,total,65-69,1230
Senja,total,65-69,890
Bukit Timah - Total,total,65-69,4220
Anak Bukit,total,65-69,1400
Coronation Road,total,65-69,330
Farrer Court,total,65-69,240
Hillcrest,total,65-69,390
Holland Road,total,65-69,500
Leedon Park,total,65-69,350
Swiss Club,total,65-69,300
Ulu Pandan,total,65-69,710
Central Water Catchment - Total,total,65-69,-
Central Water Catchment,total,65-69,-
Changi- Total,total,65-69,70
Changi Airport,total,65-69,-
Changi Point,total,65-69,50
Changi West,total,65-69,20
Changi Bay - Total,total,65-69,-
Changi Bay,total,65-69,-
Choa Chu Kang - Total,total,65-69,8590
Choa Chu Kang Central,total,65-69,1000
Choa Chu Kang North,total,65-69,1410
Keat Hong,total,65-69,1120
Peng Siang,total,65-69,1730
Teck Whye,total,65-69,1570
Yew Tee,total,65-69,1760
Clementi - Total,total,65-69,6260
Clementi Central,total,65-69,1000
Clementi North,total,65-69,2040
Clementi West,total,65-69,1170
Clementi Woods,total,65-69,1060
Faber,total,65-69,220
Pandan,total,65-69,-
Sunset Way,total,65-69,470
Toh Tuck,total,65-69,-
West Coast,total,65-69,310
Downtown Core - Total,total,65-69,130
Anson,total,65-69,-
Bayfront Subzone,total,65-69,-
Bugis,total,65-69,70
Cecil,total,65-69,10
Central Subzone,total,65-69,30
City Hall,total,65-69,-
Clifford Pier,total,65-69,-
Marina Centre,total,65-69,-
Maxwell,total,65-69,-
Nicoll,total,65-69,10
Phillip,total,65-69,-
Raffles Place,total,65-69,-
Tanjong Pagar,total,65-69,20
Geylang - Total,total,65-69,7300
Aljunied,total,65-69,2620
Geylang East,total,65-69,1960
Kallang Way,total,65-69,-
Kampong Ubi,total,65-69,840
Macpherson,total,65-69,1870
Hougang - Total,total,65-69,14540
Defu Industrial Park,total,65-69,-
Hougang Central,total,65-69,310
Hougang East,total,65-69,1370
Hougang West,total,65-69,3390
Kangkar,total,65-69,1810
Kovan,total,65-69,1510
Lorong Ah Soo,total,65-69,2300
Lorong Halus,total,65-69,-
Tai Seng,total,65-69,970
Trafalgar,total,65-69,2880
Jurong East - Total,total,65-69,5950
International Business Park,total,65-69,-
Jurong Gateway,total,65-69,10
Jurong Port,total,65-69,-
Jurong River,total,65-69,-
Lakeside (Business),total,65-69,-
Lakeside (Leisure),total,65-69,120
Penjuru Crescent,total,65-69,-
Teban Gardens,total,65-69,1410
Toh Guan,total,65-69,1010
Yuhua East,total,65-69,1960
Yuhua West,total,65-69,1430
Jurong West - Total,total,65-69,14550
Boon Lay Place,total,65-69,1500
Chin Bee,total,65-69,-
Hong Kah,total,65-69,3900
Jurong West Central,total,65-69,3160
Kian Teck,total,65-69,-
Safti,total,65-69,-
Taman Jurong,total,65-69,1970
Wenya,total,65-69,330
Yunnan,total,65-69,3690
Kallang - Total,total,65-69,6930
Bendemeer,total,65-69,2500
Boon Keng,total,65-69,840
Crawford,total,65-69,790
Geylang Bahru,total,65-69,810
Kallang Bahru,total,65-69,-
Kampong Bugis,total,65-69,70
Kampong Java,total,65-69,700
Lavender,total,65-69,640
Tanjong Rhu,total,65-69,580
Lim Chu Kang - Total,total,65-69,10
Lim Chu Kang,total,65-69,10
Mandai - Total,total,65-69,90
Mandai East,total,65-69,-
Mandai Estate,total,65-69,90
Mandai West,total,65-69,-
Marina East - Total,total,65-69,-
Marina East,total,65-69,-
Marina South - Total,total,65-69,-
Marina South,total,65-69,-
Marine Parade - Total,total,65-69,2560
East Coast,total,65-69,-
Katong,total,65-69,500
Marina East (Mp),total,65-69,-
Marine Parade,total,65-69,1520
Mountbatten,total,65-69,540
Museum - Total,total,65-69,20
Bras Basah,total,65-69,-
Dhoby Ghaut,total,65-69,10
Fort Canning,total,65-69,10
Newton - Total,total,65-69,400
Cairnhill,total,65-69,190
Goodwood Park,total,65-69,50
Istana Negara,total,65-69,-
Monk's Hill,total,65-69,40
Newton Circus,total,65-69,10
Orange Grove,total,65-69,120
North-Eastern Islands - Total,total,65-69,-
North-Eastern Islands,total,65-69,-
Novena - Total,total,65-69,2710
Balestier,total,65-69,1900
Dunearn,total,65-69,220
Malcolm,total,65-69,160
Moulmein,total,65-69,370
Mount Pleasant,total,65-69,50
Orchard - Total,total,65-69,60
Boulevard,total,65-69,40
Somerset,total,65-69,-
Tanglin,total,65-69,20
Outram - Total,total,65-69,1360
China Square,total,65-69,160
Chinatown,total,65-69,580
Pearl's Hill,total,65-69,600
People's Park,total,65-69,30
Pasir Ris - Total,total,65-69,6750
Flora Drive,total,65-69,670
Loyang East,total,65-69,150
Loyang West,total,65-69,20
Pasir Ris Central,total,65-69,1340
Pasir Ris Drive,total,65-69,2930
Pasir Ris Park,total,65-69,180
Pasir Ris Wafer Fab Park,total,65-69,-
Pasir Ris West,total,65-69,1460
Paya Lebar - Total,total,65-69,-
Airport Road,total,65-69,-
Paya Lebar East,total,65-69,-
Paya Lebar North,total,65-69,-
Paya Lebar West,total,65-69,-
Plab,total,65-69,-
Pioneer - Total,total,65-69,-
Benoi Sector,total,65-69,-
Gul Basin,total,65-69,-
Gul Circle,total,65-69,-
Joo Koon,total,65-69,-
Pioneer Sector,total,65-69,-
Punggol - Total,total,65-69,5370
Coney Island,total,65-69,-
Matilda,total,65-69,1550
Northshore,total,65-69,20
Punggol Canal,total,65-69,-
Punggol Field,total,65-69,1920
Punggol Town Centre,total,65-69,500
Waterway East,total,65-69,1390
Queenstown - Total,total,65-69,5720
Commonwealth,total,65-69,460
Dover,total,65-69,610
Ghim Moh,total,65-69,800
Holland Drive,total,65-69,860
Kent Ridge,total,65-69,-
Margaret Drive,total,65-69,740
Mei Chin,total,65-69,1030
National University Of S'pore,total,65-69,-
One North,total,65-69,20
Pasir Panjang 1,total,65-69,240
Pasir Panjang 2,total,65-69,280
Port,total,65-69,10
Queensway,total,65-69,20
Singapore Polytechnic,total,65-69,-
Tanglin Halt,total,65-69,660
River Valley - Total,total,65-69,450
Institution Hill,total,65-69,130
Leonie Hill,total,65-69,130
One Tree Hill,total,65-69,110
Oxley,total,65-69,70
Paterson,total,65-69,10
Rochor - Total,total,65-69,910
Bencoolen,total,65-69,100
Farrer Park,total,65-69,190
Kampong Glam,total,65-69,10
Little India,total,65-69,260
Mackenzie,total,65-69,-
Mount Emily,total,65-69,50
Rochor Canal,total,65-69,-
Selegie,total,65-69,10
Sungei Road,total,65-69,150
Victoria,total,65-69,140
Seletar - Total,total,65-69,10
Pulau Punggol Barat,total,65-69,-
Pulau Punggol Timor,total,65-69,-
Seletar,total,65-69,10
Seletar Aerospace Park,total,65-69,-
Sembawang - Total,total,65-69,3790
Admiralty,total,65-69,560
Sembawang Central,total,65-69,1350
Sembawang East,total,65-69,410
Sembawang North,total,65-69,1130
Sembawang Springs,total,65-69,270
Sembawang Straits,total,65-69,80
Senoko North,total,65-69,-
Senoko South,total,65-69,-
The Wharves,total,65-69,-
Sengkang - Total,total,65-69,10070
Anchorvale,total,65-69,1730
Compassvale,total,65-69,740
Fernvale,total,65-69,1910
Lorong Halus North,total,65-69,-
Rivervale,total,65-69,3030
Sengkang Town Centre,total,65-69,2660
Sengkang West,total,65-69,-
Serangoon - Total,total,65-69,8410
Lorong Chuan,total,65-69,450
Seletar Hills,total,65-69,970
Serangoon Central,total,65-69,2000
Serangoon Garden,total,65-69,2890
Serangoon North,total,65-69,1000
Serangoon North Ind Estate,total,65-69,-
Upper Paya Lebar,total,65-69,1100
Simpang - Total,total,65-69,-
Pulau Seletar,total,65-69,-
Simpang North,total,65-69,-
Simpang South,total,65-69,-
Tanjong Irau,total,65-69,-
Singapore River - Total,total,65-69,100
Boat Quay,total,65-69,10
Clarke Quay,total,65-69,-
Robertson Quay,total,65-69,90
Southern Islands - Total,total,65-69,70
Sentosa,total,65-69,70
Southern Group,total,65-69,-
Straits View - Total,total,65-69,-
Straits View,total,65-69,-
Sungei Kadut - Total,total,65-69,40
Gali Batu,total,65-69,-
Kranji,total,65-69,-
Pang Sua,total,65-69,-
Reservoir View,total,65-69,-
Turf Club,total,65-69,40
Tampines - Total,total,65-69,16360
Simei,total,65-69,2450
Tampines East,total,65-69,8630
Tampines North,total,65-69,250
Tampines West,total,65-69,4930
Xilin,total,65-69,110
Tanglin - Total,total,65-69,1100
Chatsworth,total,65-69,310
Nassim,total,65-69,470
Ridout,total,65-69,90
Tyersall,total,65-69,220
Tengah - Total,total,65-69,-
Brickland,total,65-69,-
Forest Hill,total,65-69,-
Garden,total,65-69,-
Park,total,65-69,-
Plantation,total,65-69,-
Tengah Industrial Estate,total,65-69,-
Toa Payoh - Total,total,65-69,7810
Bidadari,total,65-69,-
Boon Teck,total,65-69,980
Braddell,total,65-69,650
Joo Seng,total,65-69,480
Kim Keat,total,65-69,600
Lorong 8 Toa Payoh,total,65-69,530
Pei Chun,total,65-69,660
Potong Pasir,total,65-69,960
Sennett,total,65-69,370
Toa Payoh Central,total,65-69,1510
Toa Payoh West,total,65-69,950
